school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,midtermexam,finalexam,finalgrade
GP,M,15,Urban,<=3,Together,3. SMA,3. SMA,other,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,yes,no,yes,yes,no,5. very good,3. normal,2. low,1. very low,1. very low,2. bad,0,8,10,12
GP,M,16,Urban,>3,Together,3. SMA,2. SMP,other,other,distance,mother,1. <15 min,1. <2 hours,0,no,yes,yes,no,no,yes,yes,no,5. very good,4. high,3. normal,1. very low,1. very low,5. very good,0,12,14,15
GP,F,15,Urban,>3,Together,2. SMP,3. SMA,other,other,other,father,2. 15 - 30 mins,1. <2 hours,0,no,yes,no,yes,yes,yes,no,no,3. normal,5. very high,1. very low,1. very low,1. very low,5. very good,0,8,7,6
GP,M,15,Urban,<=3,Together,4. S1,3. SMA,teacher,services,distance,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,4. high,3. normal,1. very low,1. very low,4. good,2,15,16,18
GP,M,16,Rural,>3,Apart,4. S1,4. S1,other,teacher,reputation,mother,2. 15 - 30 mins,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,2. bad,4. high,3. normal,1. very low,1. very low,5. very good,7,15,16,15
GP,F,15,Rural,>3,Together,3. SMA,4. S1,services,health,course,mother,1. <15 min,3. 5 - 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4. good,3. normal,2. low,1. very low,1. very low,5. very good,2,12,12,11
GP,F,15,Rural,>3,Together,2. SMP,2. SMP,at_home,other,reputation,mother,1. <15 min,1. <2 hours,0,yes,yes,yes,yes,yes,yes,no,no,4. good,3. normal,1. very low,1. very low,1. very low,2. bad,8,14,13,13
GP,F,16,Urban,<=3,Together,2. SMP,2. SMP,other,other,distance,mother,2. 15 - 30 mins,2. 2 - 5 hours,1,no,yes,no,yes,no,yes,yes,yes,3. normal,3. normal,3. normal,1. very low,2. low,3. normal,25,7,10,11
GP,M,15,Urban,<=3,Together,4. S1,4. S1,teacher,other,distance,other,1. <15 min,1. <2 hours,0,no,yes,no,no,no,yes,yes,yes,5. very good,4. high,3. normal,2. low,4. high,5. very good,8,12,12,12
GP,M,15,Urban,>3,Together,4. S1,4. S1,services,teacher,course,father,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4. good,3. normal,3. normal,1. very low,1. very low,5. very good,2,19,18,18
GP,M,15,Urban,>3,Together,2. SMP,2. SMP,services,services,course,father,1. <15 min,1. <2 hours,0,yes,yes,no,no,yes,yes,yes,no,5. very good,4. high,1. very low,1. very low,1. very low,1. very bad,0,8,8,11
GP,F,16,Urban,<=3,Together,2. SMP,2. SMP,other,at_home,course,father,2. 15 - 30 mins,2. 2 - 5 hours,1,yes,no,no,yes,yes,yes,yes,no,4. good,3. normal,3. normal,2. low,2. low,5. very good,14,10,10,9
GP,F,15,Urban,<=3,Apart,4. S1,3. SMA,other,other,course,mother,1. <15 min,2. 2 - 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5. very good,2. low,2. low,1. very low,1. very low,5. very good,8,8,8,6
GP,F,16,Urban,<=3,Apart,3. SMA,3. SMA,other,services,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,no,yes,yes,yes,no,2. bad,3. normal,5. very high,1. very low,4. high,3. normal,12,11,12,11
GP,M,16,Urban,>3,Together,4. S1,3. SMA,health,services,reputation,mother,1. <15 min,4. >10 hours,0,no,no,no,yes,yes,yes,yes,no,4. good,2. low,2. low,1. very low,1. very low,2. bad,4,19,19,20
GP,M,15,Urban,>3,Together,4. S1,2. SMP,teacher,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,no,no,4. good,3. normal,3. normal,2. low,2. low,5. very good,2,15,15,14
GP,F,15,Urban,>3,Together,4. S1,4. S1,services,teacher,other,father,1. <15 min,2. 2 - 5 hours,1,yes,yes,no,yes,no,yes,yes,no,4. good,4. high,4. high,1. very low,1. very low,3. normal,2,7,7,7
GP,F,16,Urban,<=3,Together,2. SMP,2. SMP,services,services,course,mother,3. 30 mins - 1 hour,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4. good,3. normal,3. normal,2. low,3. normal,4. good,2,12,13,13
GP,F,15,Urban,<=3,Together,4. S1,2. SMP,health,other,other,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4. good,3. normal,3. normal,1. very low,1. very low,5. very good,2,11,13,13
GP,M,15,Urban,<=3,Apart,4. S1,2. SMP,health,health,other,father,2. 15 - 30 mins,1. <2 hours,1,no,no,no,no,yes,yes,no,no,5. very good,5. very high,5. very high,3. normal,4. high,5. very good,6,11,11,10
GP,F,15,Urban,>3,Together,4. S1,4. S1,services,services,course,mother,1. <15 min,1. <2 hours,0,yes,yes,yes,no,yes,yes,yes,no,3. normal,3. normal,4. high,2. low,3. normal,5. very good,0,8,10,11
GP,F,15,Urban,<=3,Apart,3. SMA,3. SMA,other,other,other,mother,1. <15 min,1. <2 hours,0,no,no,yes,no,yes,yes,yes,no,5. very good,3. normal,4. high,4. high,4. high,1. very bad,6,10,13,13
GP,F,16,Urban,>3,Apart,2. SMP,1. SD,other,other,other,mother,1. <15 min,2. 2 - 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,5. very good,3. normal,4. high,1. very low,1. very low,2. bad,8,8,9,10
GP,F,15,Urban,>3,Apart,4. S1,3. SMA,services,services,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4. good,3. normal,2. low,1. very low,1. very low,1. very bad,0,14,15,15
GP,M,15,Urban,>3,Together,4. S1,4. S1,teacher,health,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,no,no,3. normal,2. low,2. low,1. very low,1. very low,5. very good,4,14,15,15
GP,M,15,Urban,<=3,Together,1. SD,2. SMP,other,at_home,distance,father,1. <15 min,2. 2 - 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4. good,3. normal,2. low,1. very low,1. very low,5. very good,2,9,10,9
GP,F,16,Urban,>3,Together,4. S1,2. SMP,services,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,no,yes,yes,yes,no,4. good,2. low,3. normal,1. very low,1. very low,5. very good,2,15,16,16
GP,F,16,Rural,>3,Together,4. S1,4. S1,health,teacher,other,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,no,no,2. bad,4. high,4. high,2. low,3. normal,4. good,6,10,11,11
GP,F,16,Urban,>3,Together,1. SD,1. SD,services,services,course,father,4. >1 hour,1. <2 hours,0,yes,yes,no,yes,no,yes,yes,yes,5. very good,5. very high,5. very high,5. very high,5. very high,5. very good,6,10,8,11
GP,F,16,Urban,<=3,Together,1. SD,2. SMP,other,services,reputation,father,1. <15 min,2. 2 - 5 hours,0,yes,no,no,yes,yes,yes,yes,no,4. good,4. high,3. normal,1. very low,1. very low,1. very bad,4,8,10,9
GP,F,16,Urban,>3,Together,4. S1,3. SMA,teacher,health,distance,mother,1. <15 min,3. 5 - 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,3. normal,4. high,4. high,2. low,4. high,4. good,2,10,9,9
GP,F,15,Urban,<=3,Together,4. S1,3. SMA,services,services,reputation,father,1. <15 min,2. 2 - 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,4. good,4. high,4. high,2. low,4. high,2. bad,0,10,10,10
GP,F,16,Urban,<=3,Together,4. S1,3. SMA,teacher,services,course,mother,3. 30 mins - 1 hour,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,4. high,3. normal,1. very low,2. low,1. very bad,2,16,15,15
GP,M,15,Urban,>3,Apart,4. S1,4. S1,other,services,reputation,mother,1. <15 min,4. >10 hours,0,no,yes,no,yes,no,yes,yes,yes,1. very bad,3. normal,3. normal,5. very high,5. very high,3. normal,4,13,13,12
GP,F,16,Urban,>3,Together,3. SMA,1. SD,services,other,course,mother,1. <15 min,4. >10 hours,0,yes,yes,yes,no,yes,yes,yes,no,4. good,3. normal,3. normal,1. very low,2. low,5. very good,4,7,7,6
GP,F,15,Rural,<=3,Together,2. SMP,2. SMP,health,services,reputation,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4. good,1. very low,3. normal,1. very low,3. normal,4. good,2,8,9,8
GP,F,15,Rural,<=3,Together,3. SMA,1. SD,other,other,reputation,father,2. 15 - 30 mins,4. >10 hours,0,no,yes,no,no,no,yes,yes,no,4. good,4. high,2. low,2. low,3. normal,3. normal,12,16,16,16
GP,M,16,Urban,>3,Together,3. SMA,1. SD,other,other,reputation,father,2. 15 - 30 mins,4. >10 hours,0,no,yes,yes,no,yes,yes,yes,no,4. good,3. normal,2. low,1. very low,1. very low,5. very good,0,13,15,15
GP,M,15,Urban,>3,Together,4. S1,2. SMP,other,other,course,mother,1. <15 min,4. >10 hours,0,no,no,no,no,yes,yes,yes,no,3. normal,3. normal,3. normal,1. very low,1. very low,3. normal,0,10,10,10
GP,F,15,Rural,>3,Together,1. SD,1. SD,other,other,reputation,mother,1. <15 min,2. 2 - 5 hours,2,yes,yes,no,no,no,yes,yes,yes,3. normal,3. normal,4. high,2. low,4. high,5. very good,2,8,6,5
GP,M,16,Urban,>3,Together,3. SMA,1. SD,other,other,reputation,mother,1. <15 min,1. <2 hours,0,no,no,no,yes,yes,yes,no,no,5. very good,3. normal,2. low,2. low,2. low,5. very good,2,12,12,14
GP,F,16,Urban,>3,Together,3. SMA,3. SMA,other,services,distance,mother,1. <15 min,2. 2 - 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4. good,3. normal,3. normal,2. low,4. high,5. very good,54,11,12,11
GP,M,15,Urban,>3,Together,4. S1,3. SMA,teacher,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4. good,3. normal,3. normal,2. low,3. normal,5. very good,6,9,9,10
GP,M,15,Urban,>3,Together,4. S1,0. None,teacher,other,course,mother,2. 15 - 30 mins,4. >10 hours,0,no,no,no,yes,yes,yes,yes,no,3. normal,4. high,3. normal,1. very low,1. very low,1. very bad,8,11,11,10
GP,F,16,Urban,>3,Together,2. SMP,2. SMP,other,other,reputation,mother,1. <15 min,4. >10 hours,0,no,no,yes,no,yes,yes,yes,yes,5. very good,2. low,3. normal,1. very low,3. normal,3. normal,0,11,11,11
GP,M,17,Urban,>3,Together,2. SMP,1. SD,other,other,distance,mother,2. 15 - 30 mins,1. <2 hours,3,yes,yes,no,yes,yes,no,yes,no,4. good,5. very high,1. very low,1. very low,1. very low,3. normal,2,8,8,10
GP,F,16,Urban,>3,Together,3. SMA,4. S1,at_home,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,no,yes,yes,yes,no,2. bad,4. high,3. normal,1. very low,2. low,3. normal,12,5,5,5
GP,M,15,Urban,>3,Together,2. SMP,3. SMA,other,services,course,father,1. <15 min,1. <2 hours,0,yes,yes,yes,yes,no,yes,yes,yes,3. normal,2. low,2. low,1. very low,3. normal,3. normal,2,10,12,12
GP,M,15,Urban,>3,Together,2. SMP,3. SMA,other,other,distance,mother,1. <15 min,3. 5 - 10 hours,0,yes,no,yes,no,no,yes,yes,no,5. very good,3. normal,2. low,1. very low,2. low,5. very good,4,11,10,11
GP,F,15,Urban,<=3,Together,3. SMA,2. SMP,services,other,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4. good,4. high,4. high,1. very low,1. very low,5. very good,10,7,6,6
GP,M,15,Urban,<=3,Together,2. SMP,2. SMP,services,services,distance,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,no,yes,yes,yes,yes,yes,no,5. very good,3. normal,3. normal,1. very low,3. normal,4. good,4,15,15,15
GP,F,15,Urban,>3,Together,1. SD,1. SD,other,other,distance,father,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,no,yes,yes,no,4. good,3. normal,2. low,2. low,3. normal,4. good,2,9,10,10
GP,F,15,Urban,>3,Together,4. S1,4. S1,services,services,reputation,father,2. 15 - 30 mins,2. 2 - 5 hours,2,no,no,yes,no,yes,yes,yes,yes,4. good,4. high,4. high,2. low,3. normal,5. very good,6,7,9,8
GP,F,16,Urban,<=3,Together,2. SMP,2. SMP,at_home,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,no,yes,yes,no,no,4. good,3. normal,4. high,1. very low,2. low,2. bad,4,8,7,6
GP,F,15,Urban,>3,Together,4. S1,2. SMP,other,other,reputation,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,3. normal,3. normal,1. very low,3. normal,1. very bad,4,13,14,14
GP,M,16,Urban,>3,Together,2. SMP,2. SMP,services,other,reputation,father,2. 15 - 30 mins,2. 2 - 5 hours,1,no,no,yes,yes,no,yes,yes,no,4. good,4. high,2. low,1. very low,1. very low,3. normal,12,11,10,10
GP,M,16,Urban,<=3,Apart,4. S1,4. S1,teacher,health,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,no,yes,yes,no,no,4. good,1. very low,3. normal,3. normal,5. very high,5. very good,18,8,6,7
GP,F,16,Urban,>3,Together,3. SMA,3. SMA,other,other,distance,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,yes,no,yes,yes,yes,yes,4. good,3. normal,3. normal,1. very low,3. normal,4. good,0,7,7,8
GP,F,15,Urban,>3,Together,4. S1,3. SMA,services,other,reputation,mother,1. <15 min,1. <2 hours,0,no,no,yes,yes,yes,yes,yes,no,4. good,5. very high,5. very high,1. very low,3. normal,1. very bad,4,16,17,18
GP,F,16,Urban,<=3,Together,3. SMA,1. SD,other,other,distance,father,1. <15 min,2. 2 - 5 hours,0,yes,yes,no,no,yes,yes,no,no,3. normal,3. normal,3. normal,2. low,3. normal,2. bad,4,7,6,6
GP,F,16,Urban,>3,Together,4. S1,2. SMP,teacher,services,distance,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,1. very bad,0,11,10,10
GP,M,15,Urban,<=3,Together,2. SMP,2. SMP,services,health,reputation,mother,1. <15 min,4. >10 hours,0,no,yes,no,yes,yes,yes,yes,no,4. good,3. normal,4. high,1. very low,1. very low,4. good,6,11,13,14
GP,F,15,Rural,>3,Together,1. SD,1. SD,at_home,other,distance,mother,2. 15 - 30 mins,4. >10 hours,1,yes,yes,yes,yes,yes,yes,yes,no,3. normal,1. very low,2. low,1. very low,1. very low,1. very bad,2,7,10,10
GP,M,16,Rural,>3,Together,4. S1,3. SMA,services,other,reputation,mother,2. 15 - 30 mins,1. <2 hours,0,yes,yes,no,yes,no,yes,yes,no,3. normal,3. normal,3. normal,1. very low,1. very low,4. good,2,11,15,15
GP,F,16,Urban,>3,Together,2. SMP,1. SD,other,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,no,yes,4. good,3. normal,5. very high,1. very low,1. very low,5. very good,2,8,9,10
GP,F,16,Urban,>3,Together,4. S1,4. S1,other,other,reputation,mother,1. <15 min,1. <2 hours,0,no,no,no,yes,no,yes,yes,no,5. very good,3. normal,4. high,1. very low,2. low,1. very bad,6,11,14,14
GP,F,16,Urban,>3,Together,4. S1,3. SMA,other,at_home,course,mother,1. <15 min,3. 5 - 10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5. very good,3. normal,5. very high,1. very low,1. very low,3. normal,0,7,9,8
GP,M,16,Urban,>3,Together,4. S1,4. S1,services,services,other,mother,1. <15 min,1. <2 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4. good,5. very high,5. very high,5. very high,5. very high,4. good,14,7,7,5
GP,M,16,Urban,>3,Together,4. S1,4. S1,services,teacher,other,father,1. <15 min,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,4. good,4. high,3. normal,1. very low,1. very low,4. good,0,16,17,17
GP,M,15,Urban,>3,Together,4. S1,4. S1,services,other,course,mother,1. <15 min,1. <2 hours,0,no,yes,no,yes,no,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,5. very good,4,10,13,14
GP,F,15,Urban,>3,Together,3. SMA,2. SMP,services,other,distance,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4. good,3. normal,5. very high,1. very low,1. very low,2. bad,26,7,6,6
GP,M,15,Urban,>3,Apart,3. SMA,4. S1,services,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5. very good,4. high,4. high,1. very low,1. very low,1. very bad,0,16,18,18
GP,F,15,Urban,>3,Apart,3. SMA,3. SMA,other,health,reputation,father,1. <15 min,4. >10 hours,0,yes,no,no,no,yes,yes,no,no,4. good,3. normal,3. normal,1. very low,1. very low,4. good,10,10,11,11
GP,F,15,Urban,>3,Together,2. SMP,2. SMP,other,other,course,mother,1. <15 min,4. >10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5. very good,1. very low,2. low,1. very low,1. very low,3. normal,8,7,8,8
GP,M,16,Urban,>3,Together,3. SMA,3. SMA,services,other,distance,father,1. <15 min,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,5. very good,2,16,18,18
GP,M,15,Rural,>3,Together,4. S1,4. S1,other,other,distance,father,4. >1 hour,4. >10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,1. very bad,3. normal,5. very high,3. normal,5. very high,1. very bad,6,10,13,13
GP,F,16,Urban,<=3,Together,4. S1,4. S1,health,health,other,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,5. very good,4. high,5. very high,1. very low,1. very low,4. good,4,14,15,16
GP,M,15,Urban,<=3,Apart,4. S1,4. S1,teacher,teacher,course,mother,1. <15 min,1. <2 hours,0,no,no,no,yes,yes,yes,yes,no,5. very good,5. very high,3. normal,1. very low,1. very low,4. good,6,18,19,19
GP,F,16,Rural,>3,Together,3. SMA,3. SMA,services,other,reputation,father,1. <15 min,3. 5 - 10 hours,1,yes,yes,no,yes,yes,yes,yes,no,4. good,1. very low,2. low,1. very low,1. very low,2. bad,0,7,10,10
GP,F,16,Urban,>3,Together,2. SMP,2. SMP,at_home,other,distance,mother,1. <15 min,2. 2 - 5 hours,1,yes,no,no,yes,yes,yes,yes,no,3. normal,1. very low,2. low,1. very low,1. very low,5. very good,6,10,13,13
GP,M,15,Urban,<=3,Together,4. S1,2. SMP,teacher,other,course,mother,1. <15 min,1. <2 hours,0,no,no,no,no,yes,yes,yes,no,3. normal,5. very high,2. low,1. very low,1. very low,3. normal,10,18,19,19
GP,M,15,Rural,>3,Together,2. SMP,1. SD,health,services,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,yes,yes,yes,yes,yes,5. very good,4. high,2. low,1. very low,1. very low,5. very good,8,9,9,9
GP,M,16,Urban,>3,Together,4. S1,4. S1,teacher,teacher,course,father,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,4. high,4. high,1. very low,2. low,5. very good,2,15,15,16
GP,M,15,Urban,>3,Together,4. S1,4. S1,other,teacher,reputation,father,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,no,no,4. good,4. high,3. normal,1. very low,1. very low,2. bad,2,11,13,14
